,word,meaning,der
34,b'warranty',b'n. \xed\x92\x88\xec\xa7\x88 \xeb\xb3\xb4\xec\xa6\x9d\xec\x84\x9c',b'warranty warranties warrantying warrantied'
35,b'accountable',b'adj. \xec\xb1\x85\xec\x9e\x84\xec\x9d\xb4 \xec\x9e\x88\xeb\x8a\x94',b'accountable accountables accountabling accountabled'
36,b'apologize',b'v. \xec\x82\xac\xea\xb3\xbc\xed\x95\x98\xeb\x8b\xa4',b'apologize apologizes apologizing apologized'
37,b'charge',b'v. \xec\xb2\xad\xea\xb5\xac\xed\x95\x98\xeb\x8b\xa4 n. \xec\x9a\x94\xea\xb8\x88',b'charge charges charging charged'
38,b'client',"b'n. \xec\x9d\x98\xeb\xa2\xb0\xec\x9d\xb8, \xea\xb3\xa0\xea\xb0\x9d'",b'client clients clienting cliented'
39,b'complaint',"b'n. \xeb\xb6\x88\xeb\xa7\x8c, \xeb\xb6\x88\xed\x8f\x89'",b'complaint complaints complainting complainted'
40,b'complain',b'v. \xeb\xb6\x88\xed\x8f\x89\xed\x95\x98\xeb\x8b\xa4',b'complain complains complaining complained'
41,b'compliment',b'v. \xec\xb9\xad\xec\xb0\xac\xed\x95\x98\xeb\x8b\xa4 n. \xec\xb9\xad\xec\xb0\xac',b'compliment compliments complimenting complimented'
42,b'consider',b'v. \xea\xb3\xa0\xeb\xa0\xa4\xed\x95\x98\xeb\x8b\xa4',b'consider considers considering considered'
43,b'considerable',b'adj. \xec\x83\x81\xeb\x8b\xb9\xed\x95\x9c',b'considerable considerables considerabling considerabled'
44,b'considerate',"b'adj. \xec\x82\xac\xeb\xa0\xa4 \xea\xb9\x8a\xec\x9d\x80, \xeb\xb0\xb0\xeb\xa0\xa4\xed\x95\x98\xeb\x8a\x94'",b'considerate considerates considerating considerated'
45,b'consumer',b'n. \xec\x86\x8c\xeb\xb9\x84\xec\x9e\x90',b'consumer consumers consumerring consumerred'
46,b'convince',b'v. \xed\x99\x95\xec\x8b\xa0\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4',b'convince convinces convincing convinced'
47,b'delighted',b'adj. \xec\x95\x84\xec\xa3\xbc \xea\xb8\xb0\xeb\xbb\x90\xed\x95\x98\xeb\x8a\x94',b'delight delights delighting delighted'
48,b'extension',"b'n. \xeb\x82\xb4\xec\x84\xa0, \xea\xb5\xac\xeb\x82\xb4\xec\xa0\x84\xed\x99\x94; \xec\x97\xb0\xec\x9e\xa5, \xed\x99\x95\xeb\x8c\x80'",b'extension extensions extensioning extensioned'
49,b'flexibility',b'n. \xec\x9c\xb5\xed\x86\xb5\xec\x84\xb1; \xec\x9c\xa0\xec\x97\xb0\xec\x84\xb1',b'flexibility flexibilities flexibilitying flexibilitied'
50,b'helpful',"b'adj. \xeb\x8f\x84\xec\x9b\x80\xec\x9d\xb4 \xeb\x90\x98\xeb\x8a\x94, \xec\x9c\xa0\xec\x9a\xa9\xed\x95\x9c'",b'helpful helpfuls helpfulling helpfulled'
51,b'hesitate',"b'v. \xec\xa3\xbc\xec\xa0\x80\xed\x95\x98\xeb\x8b\xa4, \xeb\xa7\x9d\xec\x84\xa4\xec\x9d\xb4\xeb\x8b\xa4'",b'hesitate hesitates hesitating hesitated'
52,b'inconvenience',"b'n. \xeb\xb6\x88\xed\x8e\xb8, \xec\x95\xa0\xeb\xa1\x9c \xec\x82\xac\xed\x95\xad'",b'inconvenience inconveniences inconveniencing inconvenienced'
53,b'informative',b'adj. \xec\x9c\xa0\xec\x9d\xb5\xed\x95\x9c',b'informative informatives informativing informatived'
54,b'order',b'v. \xec\xa3\xbc\xeb\xac\xb8\xed\x95\x98\xeb\x8b\xa4 n. \xec\xa3\xbc\xeb\xac\xb8',b'order orders ordering ordered'
55,b'reasonable',b'adj. (\xea\xb0\x80\xea\xb2\xa9 \xeb\x93\xb1\xec\x9d\xb4) \xed\x95\xa9\xeb\xa6\xac\xec\xa0\x81\xec\x9d\xb8',b'reasonable reasonables reasonabling reasonabled'
56,b'recommendation',"b'n. \xec\xb6\x94\xec\xb2\x9c, \xea\xb6\x8c\xea\xb3\xa0'",b'recommendation recommendations recommendationing recommendationed'
57,b'representative',b'n. \xec\xa7\x81\xec\x9b\x90; \xeb\x8c\x80\xed\x91\x9c(\xec\x9e\x90)',b'representative representatives representativing representatived'
58,b'request',"b'n. \xec\x9a\x94\xea\xb5\xac, \xec\x9a\x94\xec\xb2\xad v. \xec\x9a\x94\xec\xb2\xad\xed\x95\x98\xeb\x8b\xa4'",b'request requests requesting requested'
59,b'serve',"b'v. (\xec\x83\x81\xed\x92\x88, \xec\x84\x9c\xeb\xb9\x84\xec\x8a\xa4\xeb\xa5\xbc) \xec\xa0\x9c\xea\xb3\xb5\xed\x95\x98\xeb\x8b\xa4'",b'serve serves serving served'
60,b'testimonial',"b'n. \xec\xb6\x94\xec\xb2\x9c\xec\x84\x9c, \xec\xb6\x94\xec\xb2\x9c\xec\x9d\x98 \xea\xb8\x80'",b'testimonial testimonials testimonialing testimonialed'
61,b'obligated',b'adj. ~\xed\x95\xa0 \xec\x9d\x98\xeb\xac\xb4\xea\xb0\x80 \xec\x9e\x88\xeb\x8a\x94',b'obligate obligates obligating obligated'
62,b'bill',b'v. \xec\xb2\xad\xea\xb5\xac\xec\x84\x9c\xeb\xa5\xbc \xeb\xb3\xb4\xeb\x82\xb4\xeb\x8b\xa4',b'bill bills billing billed'
63,b'capacity',"b'n. \xec\x9a\xa9\xeb\x9f\x89, \xec\x88\x98\xec\x9a\xa9\xeb\xa0\xa5'",b'capacity capacities capacitying capacitied'
64,b'clarify',b'v. \xeb\xaa\x85\xed\x99\x95\xed\x9e\x88 (\xeb\xa7\x90)\xed\x95\x98\xeb\x8b\xa4',b'clarify clarifies clarifying clarified'
65,b'contact',b'v. \xec\x97\xb0\xeb\x9d\xbd\xed\x95\x98\xeb\x8b\xa4',b'contact contacts contacting contacted'
66,b'counterfeit',"b'adj. \xec\x9c\x84\xec\xa1\xb0\xec\x9d\x98, \xeb\xaa\xa8\xec\xa1\xb0\xec\x9d\x98 n. \xeb\xaa\xa8\xec\xa1\xb0\xed\x92\x88 v. \xec\x9c\x84\xec\xa1\xb0\xed\x95\x98\xeb\x8b\xa4'",b'counterfeit counterfeits counterfeiting counterfeited'
67,b'counterpart',b'n. \xec\x83\x81\xeb\x8c\x80',b'counterpart counterparts counterparting counterparted'
68,b'deliver',b'v. \xeb\xb0\xb0\xeb\x8b\xac\xed\x95\x98\xeb\x8b\xa4',b'deliver delivers delivering delivered'
69,b'delivery',b'n. \xeb\xb0\xb0\xeb\x8b\xac',b'delivery deliveries deliverying deliveried'
70,b'depart',b'v. \xec\xb6\x9c\xeb\xb0\x9c\xed\x95\x98\xeb\x8b\xa4',b'depart departs departing departed'
71,b'departure',b'n. \xec\xb6\x9c\xeb\xb0\x9c',b'departure departures departuring departured'
72,b'despite',b'prep. ~\xec\x97\x90\xeb\x8f\x84 \xeb\xb6\x88\xea\xb5\xac\xed\x95\x98\xea\xb3\xa0',b'despite despites despiting despited'
73,b'discontinue',b'v. \xec\xa4\x91\xeb\x8b\xa8\xed\x95\x98\xeb\x8b\xa4',b'discontinue discontinues discontinuing discontinued'
74,b'discount',b'n. \xed\x95\xa0\xec\x9d\xb8',b'discount discounts discounting discounted'
75,b'disruption',"b'n. \xed\x98\xbc\xeb\x9e\x80, \xec\xa4\x91\xeb\x8b\xa8'",b'disruption disruptions disruptioning disruptioned'
76,b'dissatisfaction',b'n. \xeb\xb6\x88\xeb\xa7\x8c',b'dissatisfaction dissatisfactions dissatisfactioning dissatisfactioned'
77,b'dissatisfy',b'v. \xeb\xb6\x88\xeb\xa7\x8c\xec\x9d\x84 \xeb\x8a\x90\xeb\x81\xbc\xea\xb2\x8c \xed\x95\x98\xeb\x8b\xa4',b'dissatisfy dissatisfies dissatisfying dissatisfied'
78,b'experience',"b'v. \xea\xb2\xaa\xeb\x8b\xa4, \xea\xb2\xbd\xed\x97\x98\xed\x95\x98\xeb\x8b\xa4'",b'experience experiences experiencing experienced'
79,b'frustrating',b'adj. \xeb\xb6\x88\xeb\xa7\x8c\xec\x8a\xa4\xeb\x9f\xac\xec\x9a\xb4',b'frustrate frustrates frustrating frustrated'
80,b'inconsistency',"b'n. \xeb\xb6\x88\xec\x9d\xbc\xec\xb9\x98, \xeb\xaa\xa8\xec\x88\x9c'",b'inconsistency inconsistencies inconsistencying inconsistencied'
81,b'invalid',b'adj. \xeb\xac\xb4\xed\x9a\xa8\xec\x9d\x98',b'invalid invalids invaliding invalided'
82,b'invoice',b'n. \xec\x86\xa1\xec\x9e\xa5',b'invoice invoices invoicing invoiced'
83,b'itemized',b'adj. \xed\x95\xad\xeb\xaa\xa9\xeb\xb3\x84\xeb\xa1\x9c \xea\xb5\xac\xeb\xb6\x84\xed\x95\x9c',b'itemize itemizes itemizing itemized'
84,b'itemize',"b'v. \xed\x95\xad\xeb\xaa\xa9\xeb\xb3\x84\xeb\xa1\x9c \xec\xa0\x81\xeb\x8b\xa4, \xeb\xaa\x85\xec\x84\xb8\xec\x84\x9c\xeb\xa5\xbc \xec\x9e\x91\xec\x84\xb1\xed\x95\x98\xeb\x8b\xa4'",b'itemize itemizes itemizing itemized'
85,b'liability',b'n. \xeb\xb2\x95\xec\xa0\x81 \xec\xb1\x85\xec\x9e\x84; \xeb\xb6\x80\xec\xb1\x84',b'liability liabilities liabilitying liabilitied'
86,b'regarding',b'prep. ~\xec\x97\x90 \xea\xb4\x80\xed\x95\x98\xec\x97\xac',b'regard regards regarding regarded'
87,b'reserve',b'v. \xec\x98\x88\xec\x95\xbd\xed\x95\x98\xeb\x8b\xa4',b'reserve reserves reserving reserved'
88,b'reservation',b'n. \xec\x98\x88\xec\x95\xbd',b'reservation reservations reservationing reservationed'
89,b'return',"b'v. \xeb\x8f\x8c\xeb\xa0\xa4\xec\xa3\xbc\xeb\x8b\xa4, \xeb\xb0\x98\xeb\x82\xa9\xed\x95\x98\xeb\x8b\xa4'",b'return returns returning returned'
90,b'ship',b'v. \xec\x88\x98\xec\x86\xa1\xed\x95\x98\xeb\x8b\xa4',b'ship ships shipping shipped'
91,b'shipment',"b'n. \xec\x88\x98\xec\x86\xa1, \xeb\xb0\xb0\xec\x86\xa1'",b'shipment shipments shipmenting shipmented'
92,b'unavailable',b'adj. \xec\x9d\xb4\xec\x9a\xa9\xed\x95\xa0 \xec\x88\x98 \xec\x97\x86\xeb\x8a\x94',b'unavailable unavailables unavailabling unavailabled'
93,b'understanding',b'n. \xec\x9d\xb4\xed\x95\xb4',b'understand understands understanding understood'
94,b'understand',b'v. \xec\x9d\xb4\xed\x95\xb4\xed\x95\x98\xeb\x8b\xa4',b'understand understands understanding understood'
95,b'unlikely',b'adj. ~\xed\x95\xa0 \xea\xb2\x83 \xea\xb0\x99\xec\xa7\x80 \xec\x95\x8a\xec\x9d\x80',b'unlikely unlikelies unlikelying unlikelied'
96,b'unpleasant',b'adj. \xeb\xb6\x88\xec\xbe\x8c\xed\x95\x9c',b'unpleasant unpleasants unpleasanting unpleasanted'
97,b'urge',"b'v. \xec\xb4\x89\xea\xb5\xac\xed\x95\x98\xeb\x8b\xa4, \xea\xb0\x95\xeb\xa0\xa5\xed\x9e\x88 \xec\x96\x98\xea\xb8\xb0\xed\x95\x98\xeb\x8b\xa4'",b'urge urges urging urged'
98,b'withdraw',b'v. (\xeb\x8f\x88\xec\x9d\x84) \xec\x9d\xb8\xec\xb6\x9c\xed\x95\x98\xeb\x8b\xa4; \xec\xb2\xa0\xed\x9a\x8c\xed\x95\x98\xeb\x8b\xa4',b'withdraw withdraws withdrawing withdrew withdrawn'
99,b'withdrawal',b'n. \xec\x9d\xb8\xec\xb6\x9c; \xed\x9a\x8c\xec\x88\x98',b'withdrawal withdrawals withdrawalling withdrawalled'
100,b'appraisal',"b'n. \xed\x8f\x89\xea\xb0\x80, \xed\x8c\x90\xeb\x8b\xa8'",b'appraisal appraisals appraisalling appraisalled'
101,b'appreciate',b'v. \xea\xb0\x90\xec\x83\x81\xed\x95\x98\xeb\x8b\xa4',b'appreciate appreciates appreciating appreciated'
102,b'comment',"b'n. \xeb\x85\xbc\xed\x8f\x89, \xec\x96\xb8\xea\xb8\x89'",b'comment comments commenting commented'
103,b'confidential',"b'adj. \xea\xb8\xb0\xeb\xb0\x80\xec\x9d\x98, \xeb\xb9\x84\xeb\xb0\x80\xec\x9d\x98'",b'confidential confidentials confidentialing confidentialed'
104,b'develop',b'v. \xea\xb0\x9c\xeb\xb0\x9c\xed\x95\x98\xeb\x8b\xa4',b'develop develops developing developed'
105,b'development',b'n. \xea\xb0\x9c\xeb\xb0\x9c',b'development developments developmenting developmented'
106,b'essential',b'adj. \xed\x95\x84\xec\x88\x98\xec\xa0\x81\xec\x9d\xb8',b'essential essentials essentialing essentialed'
107,b'evaluation',b'n. \xed\x8f\x89\xea\xb0\x80',b'evaluation evaluations evaluationing evaluationed'
108,b'evaluate',b'v. \xed\x8f\x89\xea\xb0\x80\xed\x95\x98\xeb\x8b\xa4',b'evaluate evaluates evaluating evaluated'
109,b'excellent',"b'adj. \xed\x9b\x8c\xeb\xa5\xad\xed\x95\x9c, \xed\x83\x81\xec\x9b\x94\xed\x95\x9c'",b'excellent excellents excellenting excellented'
110,b'fair',b'adj. \xea\xb4\x9c\xec\xb0\xae\xec\x9d\x80; \xea\xb3\xb5\xec\xa0\x95\xed\x95\x9c',b'fair fairs fairing faired'
111,b'feedback',b'n. \xed\x94\xbc\xeb\x93\x9c\xeb\xb0\xb1',b'feedback feedbacks feedbacking feedbacked'
112,b'indicate',b'v. \xeb\x82\x98\xed\x83\x80\xeb\x82\xb4\xeb\x8b\xa4',b'indicate indicates indicating indicated'
113,b'individual',b'n. \xea\xb0\x9c\xec\x9d\xb8 adj. \xea\xb0\x9c\xea\xb0\x9c\xec\x9d\x98',b'individual individuals individualing individualed'
114,b'information',b'n. \xec\xa0\x95\xeb\xb3\xb4',b'information informations informationing informationed'
115,b'interview',b'n. \xeb\xa9\xb4\xec\xa0\x91 v. \xeb\xa9\xb4\xec\xa0\x91\xec\x9d\x84 \xeb\xb3\xb4\xeb\x8b\xa4',b'interview interviews interviewing interviewed'
116,b'notify',"b'v. \xec\x95\x8c\xeb\xa6\xac\xeb\x8b\xa4, \xed\x86\xb5\xec\xa7\x80\xed\x95\x98\xeb\x8b\xa4'",b'notify notifies notifying notified'
117,b'participant',b'n. \xec\xb0\xb8\xea\xb0\x80\xec\x9e\x90',b'participant participants participanting participanted'
118,b'poor',"b'adj. \xec\xa2\x8b\xec\xa7\x80 \xeb\xaa\xbb\xed\x95\x9c, \xed\x98\x95\xed\x8e\xb8\xec\x97\x86\xeb\x8a\x94'",b'poor poors pooring poored'
119,b'questionnaire',b'n. \xec\x84\xa4\xeb\xac\xb8\xec\xa7\x80',b'questionnaire questionnaires questionnairing questionnaired'
120,b'relevant',"b'adj. \xea\xb4\x80\xeb\xa0\xa8 \xec\x9e\x88\xeb\x8a\x94, \xec\xa0\x81\xec\xa0\x88\xed\x95\x9c'",b'relevant relevants relevanting relevanted'
121,b'required',b'adj. \xed\x95\x84\xec\x88\x98\xec\x9d\x98',b'require requires requiring required'
122,b'response',"b'n. \xeb\x8c\x80\xeb\x8b\xb5, \xec\x9d\x91\xeb\x8b\xb5'",b'response responses responsing responsed'
123,b'respondent',b'n. \xec\x9d\x91\xeb\x8b\xb5\xec\x9e\x90',b'respondent respondents respondenting respondented'
124,b'sample',"b'v. \xec\x8b\x9c\xec\x8b\x9d\xed\x95\x98\xeb\x8b\xa4, \xec\x8b\x9c\xeb\x8f\x84\xed\x95\xb4 \xeb\xb3\xb4\xeb\x8b\xa4'",b'sample samples sampling sampled'
125,b'satisfy',b'v. \xeb\xa7\x8c\xec\xa1\xb1\xec\x8b\x9c\xed\x82\xa4\xeb\x8b\xa4',b'satisfy satisfies satisfying satisfied'
126,b'satisfaction',b'n. \xeb\xa7\x8c\xec\xa1\xb1',b'satisfaction satisfactions satisfactioning satisfactioned'
127,b'solely',b'adv. \xec\x98\xa4\xeb\xa1\x9c\xec\xa7\x80',b'solely solelies solelying solelied'
128,b'somewhat',"b'adv. \xec\x95\xbd\xea\xb0\x84, \xeb\x8b\xa4\xec\x86\x8c'",b'somewhat somewhats somewhatting somewhatted'
129,b'standard',"b'n. \xea\xb8\xb0\xec\xa4\x80, \xed\x91\x9c\xec\xa4\x80 adj. \xeb\xb3\xb4\xed\x86\xb5\xec\x9d\x98'",b'standard standards standarding standarded'
130,b'suggestion',b'n. \xec\xa0\x9c\xec\x95\x88',b'suggestion suggestions suggestioning suggestioned'
131,b'suggest',b'v. \xec\xa0\x9c\xec\x95\x88\xed\x95\x98\xeb\x8b\xa4',b'suggest suggests suggesting suggested'
132,b'suppose',"b'v. \xea\xb0\x80\xec\xa0\x95\xed\x95\x98\xeb\x8b\xa4, ~\xeb\x9d\xbc\xea\xb3\xa0 \xec\x83\x9d\xea\xb0\x81\xed\x95\x98\xeb\x8b\xa4'",b'suppose supposes supposing supposed'
133,b'survey',b'n. \xec\x84\xa4\xeb\xac\xb8 \xec\xa1\xb0\xec\x82\xac v. \xec\x84\xa4\xeb\xac\xb8 \xec\xa1\xb0\xec\x82\xac\xed\x95\x98\xeb\x8b\xa4',b'survey surveys surveying surveyed'
134,b'testing',"b'n. \xed\x85\x8c\xec\x8a\xa4\xed\x8a\xb8, \xea\xb2\x80\xec\x82\xac'",b'test tests testing tested'
135,b'trial',"b'n. \xec\x8b\x9c\xed\x97\x98, \xec\x8b\xa4\xed\x97\x98'",b'trial trials trialing trialed'
136,b'additional',b'adj. \xec\xb6\x94\xea\xb0\x80\xec\x9d\x98',b'additional additionals additionalling additionalled'
137,b'add',"b'v. \xeb\x8d\x94\xed\x95\x98\xeb\x8b\xa4, \xec\xb6\x94\xea\xb0\x80\xed\x95\x98\xeb\x8b\xa4'",b'add adds adding added'
138,b'appealing',"b'adj. \xed\x9d\xa5\xeb\xaf\xb8\xeb\xa1\x9c\xec\x9a\xb4, \xeb\xa7\xa4\xeb\xa0\xa5\xec\xa0\x81\xec\x9d\xb8'",b'appeal appeals appealing appealed'
139,b'beneficiary',b'n. \xec\x88\x98\xed\x98\x9c\xec\x9e\x90',b'beneficiary beneficiaries beneficiarying beneficiaried'
140,b'benefit',b'n. \xed\x98\x9c\xed\x83\x9d',b'benefit benefits benefiting benefited'
141,b'competitive',b'adj. \xea\xb2\xbd\xec\x9f\x81\xeb\xa0\xa5 \xec\x9e\x88\xeb\x8a\x94',b'competitive competitives competitiving competitived'
142,b'complimentary',b'adj. \xeb\xac\xb4\xeb\xa3\x8c\xec\x9d\x98',b'complimentary complimentaries complimentarying complimentaried'
143,b'coupon',"b'n. \xec\xbf\xa0\xed\x8f\xb0, \xed\x95\xa0\xec\x9d\xb8\xea\xb6\x8c'",b'coupon coupons couponning couponned'
144,b'feature',b'v. \xed\x8a\xb9\xeb\xb3\x84\xed\x9e\x88 \xed\x8f\xac\xed\x95\xa8\xed\x95\x98\xeb\x8b\xa4 n. \xed\x8a\xb9\xec\xa7\x95',b'feature features featuring featured'
145,b'form',"b'n. \xec\x96\x91\xec\x8b\x9d, \xec\x84\x9c\xec\x8b\x9d v. \xea\xb5\xac\xec\x84\xb1\xed\x95\x98\xeb\x8b\xa4'",b'form forms forming formed'
146,b'goods',"b'n. \xec\x83\x81\xed\x92\x88, \xec\xa0\x9c\xed\x92\x88'",b'good goods gooding gooded'
147,b'bulk',b'n. \xeb\x8c\x80\xeb\x9f\x89(\xea\xb5\xac\xeb\xa7\xa4)',b'bulk bulks bulking bulked'
148,b'join',b'v. \xea\xb0\x80\xec\x9e\x85\xed\x95\x98\xeb\x8b\xa4',b'join joins joining joined'
149,b'merchandise',b'n. \xec\x83\x81\xed\x92\x88',b'merchandise merchandises merchandising merchandised'
150,b'offer',"b'v. \xec\xa0\x9c\xea\xb3\xb5\xed\x95\x98\xeb\x8b\xa4 n. \xec\xa0\x9c\xea\xb3\xb5, \xed\x95\xa0\xec\x9d\xb8'",b'offer offers offering offered'
151,b'price',"b'n. \xea\xb0\x92, \xea\xb0\x80\xea\xb2\xa9'",b'price prices pricing priced'
152,b'promotional',b'adj. \xed\x99\x8d\xeb\xb3\xb4\xec\x9d\x98',b'promotional promotionals promotionalling promotionalled'
153,b'promote',b'v. \xed\x99\x8d\xeb\xb3\xb4\xed\x95\x98\xeb\x8b\xa4',b'promote promotes promoting promoted'
154,b'purchase',"b'v. \xea\xb5\xac\xeb\xa7\xa4\xed\x95\x98\xeb\x8b\xa4 n. \xea\xb5\xac\xec\x9e\x85, \xea\xb5\xac\xeb\xa7\xa4(\xed\x95\x9c \xea\xb2\x83)'",b'purchase purchases purchasing purchased'
155,b'range',b'n. \xeb\xb2\x94\xec\x9c\x84 v. (\xeb\xb2\x94\xec\x9c\x84\xea\xb0\x80 ~\xec\x97\x90) \xec\x9d\xb4\xeb\xa5\xb4\xeb\x8b\xa4',b'range ranges ranging ranged'
156,b'receive',b'v. \xeb\xb0\x9b\xeb\x8b\xa4',b'receive receives receiving received'
157,b'reduced',b'adj. \xed\x95\xa0\xec\x9d\xb8\xeb\x90\x9c',b'reduce reduces reducing reduced'
158,b'referral',"b'n. \xec\x86\x8c\xea\xb0\x9c, \xec\x9c\x84\xed\x83\x81'",b'referral referrals referralling referralled'
